use_data1,use_data2,use_data3,use_data4,use_data5,use_data6,use_data7,use_data8,use_data9,use_data10,use_data11
43,1160000035,4,2,22,16.5,7.6,0,1,149.76,165.436296064
43,1160000035,4,2,22,17,6.7,0,1,59.2,48.84961112
43,1160000035,4,2,23,6.5,0.8,0,1,33.4,33.52383384
43,1160000035,4,2,23,7,0.4,0,1,87.45,103.4171127
43,1160000035,4,2,23,7.5,0.4,0,1,390.39,394.675242
43,1160000035,4,2,23,8,1.7,0,1,1002.2012,924.780486496
43,1160000035,4,2,23,8.5,1.7,0,1,1429.0276,1428.34577824
43,1160000035,4,2,23,9,3.4,0,1,1785.9842,1778.689016566
43,1160000035,4,2,23,9.5,3.4,0,1,2074,2073.73915302
43,1160000035,4,2,23,10,5.7,0,1,2279.4,2277.438553506
43,1160000035,4,2,23,10.5,5.7,0,1,2401.2724,2468.889104
43,1160000035,4,2,23,11,7.5,0,1,2483.5296,2524.858636956
43,1160000035,4,2,23,11.5,7.5,0,1,2513.7,2466.92689155
43,1160000035,4,2,23,12,8.5,0,1,2505.2526,2571.849349812
43,1160000035,4,2,23,12.5,8.5,0,1,2463.8144,2459.984456052
43,1160000035,4,2,23,13,10,0,1,2341.5722,2245.244583702
43,1160000035,4,2,23,13.5,10,0,1,2155.4658,2254.724791272
43,1160000035,4,2,23,14,10.1,0,1,1949.2048,2099.472253894
43,1160000035,4,2,23,14.5,10.1,0,1,1679.736,1754.37488658
43,1160000035,4,2,23,15,10.8,0,1,1300.0826,1293.798439984
43,1160000035,4,2,23,15.5,10.8,0,1,851.088,851.44168428
43,1160000035,4,2,23,16,9.8,0,1,430.2,427.165098174
43,1160000035,4,2,23,16.5,9.8,0,1,149.76,162.806730112
43,1160000035,4,2,23,17,8.3,0,1,59.2,43.877129024
43,1160000035,4,2,24,6.5,-0.1,0,1,33.4,20.916512192
43,1160000035,4,2,24,7,0,0,1,110.11,103.9495402
43,1160000035,4,2,24,7.5,0,0,1,410.41,412.228555
43,1160000035,4,2,24,8,1.5,0,1,915.406,1024.68174744
43,1160000035,4,2,24,8.5,1.5,0,1,1343.0376,1359.468035136
43,1160000035,4,2,24,9,3.7,0,1,1680.455,1716.2206779
43,1160000035,4,2,24,9.5,3.7,0,1,1949.56,1831.18107834
43,1160000035,4,2,24,10,5.7,0,1,2135.7978,2117.898902676
43,1160000035,4,2,24,10.5,5.7,0,1,2259.59,2245.070583072
43,1160000035,4,2,24,11,7.1,0,1,2320.6752,2344.80513288
43,1160000035,4,2,24,11.5,7.1,0,1,2362.365,2336.02919595
43,1160000035,4,2,24,12,8.8,0,1,2381.1534,2379.62594568
43,1160000035,4,2,24,12.5,8.8,0,1,2299.7284,2293.489522108
43,1160000035,4,2,24,13,10.1,0,1,2155.0118,2102.322646456
43,1160000035,4,2,24,13.5,10.1,0,1,1990.7316,2066.551350822
43,1160000035,4,2,24,14,11.9,0,1,1826.3014,1943.865423502
43,1160000035,4,2,24,14.5,11.9,0,1,1575.6654,1585.028431044
43,1160000035,4,2,24,15,11.4,0,1,1204.5886,1209.476978786
43,1160000035,4,2,24,15.5,11.4,0,1,808.176,780.7523265
43,1160000035,4,2,24,16,10.6,0,1,409.9806,392.081802048
43,1160000035,4,2,24,16.5,10.6,0,1,149.76,145.751946496
43,1160000035,4,2,24,17,9.4,0,1,59.2,50.414296128
43,1160000035,4,2,25,6.5,3.3,0,2,33.4,27.593113408
43,1160000035,4,2,25,7,3.4,0,1,117.7176,110.762549016
43,1160000035,4,2,25,7.5,3.4,0,1,255.1086,330.075772542
43,1160000035,4,2,25,8,4.9,0,2,595.2696,667.756775868
43,1160000035,4,2,25,8.5,4.9,0,2,872.1776,1138.648183464
43,1160000035,4,2,25,9,7,0,1,1386.24,1273.5812499
43,1160000035,4,2,25,9.5,7,0,1,1532.686,1620.3652833
43,1160000035,4,2,25,10,8.4,0,2,1784.7702,1758.561157332
43,1160000035,4,2,25,10.5,8.4,0,2,1866.2992,1873.45452762
43,1160000035,4,2,25,11,10.7,0,2,1949.1636,2016.806676354
43,1160000035,4,2,25,11.5,10.7,0,2,1928.88,2116.7693793
43,1160000035,4,2,25,12,11.5,0,2,1680.51,1998.689567682
43,1160000035,4,2,25,12.5,11.5,0,2,1701.4456,1835.573737392
43,1160000035,4,2,25,13,12.1,0,2,1939.7498,1776.344487554
43,1160000035,4,2,25,13.5,12.1,0,2,1617.1794,1943.690333868
43,1160000035,4,2,25,14,12,0,1,1459.7474,1592.900555444
43,1160000035,4,2,25,14.5,12,0,1,1236.0666,1242.12177441
43,1160000035,4,2,25,15,12.3,0,2,1087.2674,770.020534564
43,1160000035,4,2,25,15.5,12.3,0,2,680.334,736.31161332
43,1160000035,4,2,25,16,11.7,0,1,390.1914,317.939581026
43,1160000035,4,2,25,16.5,11.7,0,1,166.4,144.73856384
43,1160000035,4,2,25,17,11.1,0,1,59.2,56.516027104
43,1160000035,4,2,26,6.5,2.5,0,1,33.4334,33.43252826
43,1160000035,4,2,26,7,2.2,0,2,133.6,133.543819864
43,1160000035,4,2,26,7.5,2.2,0,2,430.6302,426.41456265
43,1160000035,4,2,26,8,4.3,0,2,915.406,969.403355448
43,1160000035,4,2,26,8.5,4.3,0,2,1279.2904,1333.263212848
43,1160000035,4,2,26,9,6.9,0,2,1299.6,1657.20149185
43,1160000035,4,2,26,9.5,6.9,0,2,1825.12,1718.07295806
43,1160000035,4,2,26,10,8.8,0,2,2074.254,1907.93541357
43,1160000035,4,2,26,10.5,8.8,0,2,2198.52,2188.30201188
43,1160000035,4,2,26,11,11.3,0,3,2218.8912,2227.310034546
43,1160000035,4,2,26,11.5,11.3,0,3,2136.645,1969.43123925
43,1160000035,4,2,26,12,12.8,0,2,2259.6396,2055.740400198
43,1160000035,4,2,26,12.5,12.8,0,2,2196.228,2046.00234442
43,1160000035,4,2,26,13,14.5,0,3,2095.2168,1952.491420878
43,1160000035,4,2,26,13.5,14.5,0,3,1909.5246,2014.597618038
43,1160000035,4,2,26,14,15.6,0,4,1386.4366,1499.467752052
43,1160000035,4,2,26,14.5,15.6,0,4,850.8228,1114.47772287
43,1160000035,4,2,26,15,14.2,0,3,616.6184,540.44208589
43,1160000035,4,2,26,15.5,14.2,0,3,389.784,444.80483664
43,1160000035,4,2,26,16,14.1,0,4,218.5416,218.361470958
43,1160000035,4,2,26,16.5,14.1,0,4,102.336,75.89373376
43,1160000035,4,2,26,17,13.5,0,4,59.2,32.184762576
