Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,13,18,1,1,4,28.00,5,,1.00
1,2019,05,13,18,2,1,4,28.00,5,,1.00
1,2019,05,13,18,3,1,4,28.00,5,,0.00
1,2019,05,13,19,0,1,4,28.00,5,,0.00
1,2019,05,13,19,1,1,4,28.00,5,,0.00
1,2019,05,13,19,2,1,4,28.00,5,,0.00
1,2019,05,13,19,3,1,4,28.00,5,,0.00
1,2019,05,13,20,0,1,4,28.00,5,,0.00
1,2019,05,13,20,1,1,4,28.00,5,,0.00
1,2019,05,13,20,2,1,4,28.00,5,,0.00
1,2019,05,13,20,3,1,4,28.00,5,,0.00
1,2019,05,13,21,0,1,4,28.00,5,,0.00
1,2019,05,13,21,1,1,4,28.00,5,,0.00
1,2019,05,13,21,2,1,4,28.00,5,,0.00
1,2019,05,13,21,3,1,4,28.00,5,,0.00
1,2019,05,13,22,0,1,4,28.00,5,,0.00
1,2019,05,13,22,1,1,4,28.00,5,,0.00
1,2019,05,13,22,2,1,4,28.00,5,,0.00
1,2019,05,13,22,3,1,4,28.00,5,,0.00
1,2019,05,13,23,0,1,4,28.00,5,,0.00
1,2019,05,13,23,1,1,4,28.00,5,,0.00
1,2019,05,13,23,2,1,4,28.00,5,,0.00
1,2019,05,13,23,3,1,4,28.00,5,,0.00
1,2019,05,14,00,0,2,4,28.00,3,,0.00
1,2019,05,14,00,1,2,4,28.00,3,,0.00
1,2019,05,14,00,2,2,4,28.00,3,,0.00
1,2019,05,14,00,3,2,4,28.00,3,,0.00
1,2019,05,14,01,0,2,4,28.00,3,,0.00
1,2019,05,14,01,1,2,4,28.00,3,,0.00
1,2019,05,14,01,2,2,4,28.00,3,,0.00
1,2019,05,14,01,3,2,4,28.00,3,,0.00
1,2019,05,14,02,0,2,4,28.00,3,,0.00
1,2019,05,14,02,1,2,4,28.00,3,,0.00
1,2019,05,14,02,2,2,4,28.00,3,,0.00
1,2019,05,14,02,3,2,4,28.00,3,,0.00
1,2019,05,14,03,0,2,4,28.00,3,,0.00
1,2019,05,14,03,1,2,4,28.00,3,,0.00
1,2019,05,14,03,2,2,4,28.00,3,,0.00
1,2019,05,14,03,3,2,4,28.00,3,,0.00
1,2019,05,14,04,0,2,4,28.00,3,,0.00
1,2019,05,14,04,1,2,4,28.00,3,,0.00
1,2019,05,14,04,2,2,4,28.00,3,,0.00
1,2019,05,14,04,3,2,4,28.00,3,,0.00
1,2019,05,14,05,0,2,4,28.00,3,,0.00
1,2019,05,14,05,1,2,4,28.00,3,,0.00
1,2019,05,14,05,2,2,4,28.00,3,,0.00
1,2019,05,14,05,3,2,4,28.00,3,,0.00
1,2019,05,14,06,0,2,4,28.00,3,,0.00
1,2019,05,14,06,1,2,4,28.00,3,,2.00
1,2019,05,14,06,2,2,4,28.00,3,,1.00
1,2019,05,14,06,3,2,4,28.00,3,,3.00
1,2019,05,14,07,0,2,4,28.00,3,,4.00
1,2019,05,14,07,1,2,4,28.00,3,,4.00
1,2019,05,14,07,2,2,4,28.00,3,,4.00
1,2019,05,14,07,3,2,4,28.00,3,,2.00
1,2019,05,14,08,0,2,4,28.00,3,,2.00
1,2019,05,14,08,1,2,4,28.00,3,,4.00
1,2019,05,14,08,2,2,4,28.00,3,,4.00
1,2019,05,14,08,3,2,4,28.00,3,,6.00
1,2019,05,14,09,0,2,4,28.00,3,,6.00
1,2019,05,14,09,1,2,4,28.00,3,,6.00
1,2019,05,14,09,2,2,4,28.00,3,,6.00
1,2019,05,14,09,3,2,4,28.00,3,,10.00
1,2019,05,14,10,0,2,4,28.00,3,,10.00
1,2019,05,14,10,1,2,4,28.00,3,,12.00
1,2019,05,14,10,2,2,4,28.00,3,,11.00
1,2019,05,14,10,3,2,4,28.00,3,,11.00
1,2019,05,14,11,0,2,4,28.00,3,,12.00
1,2019,05,14,11,1,2,4,28.00,3,,10.00
1,2019,05,14,11,2,2,4,28.00,3,,12.00
1,2019,05,14,11,3,2,4,28.00,3,,11.00
1,2019,05,14,12,0,2,4,28.00,3,,11.00
1,2019,05,14,12,1,2,4,28.00,3,,12.00
1,2019,05,14,12,2,2,4,28.00,3,,10.00
1,2019,05,14,12,3,2,4,28.00,3,,12.00
1,2019,05,14,13,0,2,4,28.00,3,,11.00
1,2019,05,14,13,1,2,4,28.00,3,,11.00
1,2019,05,14,13,2,2,4,28.00,3,,11.00
1,2019,05,14,13,3,2,4,28.00,3,,11.00
1,2019,05,14,14,0,2,4,28.00,3,,8.00
1,2019,05,14,14,1,2,4,28.00,3,,3.00
1,2019,05,14,14,2,2,4,28.00,3,,1.00
1,2019,05,14,14,3,2,4,28.00,3,,2.00
1,2019,05,14,15,0,2,4,28.00,3,,5.00
1,2019,05,14,15,1,2,4,28.00,3,,7.00
1,2019,05,14,15,2,2,4,28.00,3,,6.00
1,2019,05,14,15,3,2,4,28.00,3,,8.00
1,2019,05,14,16,0,2,4,28.00,3,,9.00
1,2019,05,14,16,1,2,4,28.00,3,,8.00
1,2019,05,14,16,2,2,4,28.00,3,,6.00
1,2019,05,14,16,3,2,4,28.00,3,,6.00
1,2019,05,14,17,0,2,4,28.00,3,,6.00
1,2019,05,14,17,1,2,4,28.00,3,,7.00
1,2019,05,14,17,2,2,4,28.00,3,,4.00
1,2019,05,14,17,3,2,4,28.00,3,,2.00
1,2019,05,14,18,0,2,4,28.00,3,,3.00
1,2019,05,14,18,1,2,4,28.00,3,,2.00
1,2019,05,14,18,2,2,4,28.00,3,,1.00
1,2019,05,14,18,3,2,4,28.00,3,,0.00
1,2019,05,14,19,0,2,4,28.00,3,,1.00
1,2019,05,14,19,1,2,4,28.00,3,,0.00
1,2019,05,14,19,2,2,4,28.00,3,,0.00
1,2019,05,14,19,3,2,4,28.00,3,,0.00
1,2019,05,14,20,0,2,4,28.00,3,,0.00
1,2019,05,14,20,1,2,4,28.00,3,,0.00
1,2019,05,14,20,2,2,4,28.00,3,,0.00
1,2019,05,14,20,3,2,4,28.00,3,,0.00
1,2019,05,14,21,0,2,4,28.00,3,,0.00
1,2019,05,14,21,1,2,4,28.00,3,,0.00
1,2019,05,14,21,2,2,4,28.00,3,,0.00
1,2019,05,14,21,3,2,4,28.00,3,,0.00
1,2019,05,14,22,0,2,4,28.00,3,,0.00
1,2019,05,14,22,1,2,4,28.00,3,,0.00
1,2019,05,14,22,2,2,4,28.00,3,,0.00
1,2019,05,14,22,3,2,4,28.00,3,,0.00
1,2019,05,14,23,0,2,4,28.00,3,,0.00
1,2019,05,14,23,1,2,4,28.00,3,,0.00
