ID,generation,forecast_generation
1,0.04613,0.060013812
1,0.0594208,0.053169157
1,0.1330368,0.070760227
1,0.218405,0.174592235
1,0.2007652,0.279324196
1,0.264477,0.254330282
1,0.254612,0.2399598
1,0.3309312,0.292693134
1,0.330876,0.2715284
1,0.2194976,0.34444527
1,0.3697122,0.56594406
1,0.4924584,0.456352601
1,0.3300688,0.39214144
1,0.2180988,0.299057539
1,0.2559392,0.28512896
1,0.200424,0.250241771
1,0.134384,0.31849008
1,0.184167,0.11541132
1,0.1333086,0.13506538
1,0.0730028,0.085069223
1,0.0729742,0.09124648
1,0.045906,0.020554958
1,0.04599,0.012033466
